scene_id,split,month,accident_type_merged,lane_change_count,hard_brake_count,slow_vehicle_count,rear_end_risk_count,conflict_pair_count,violation_steps,total_steps,proxy_jaccard,signature_text
2024_06_29__12_33_05,original,6,故障/抛锚/打滑,262,276,87,12,12,11193,36812,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_29__15_35_45,original,6,碰撞,293,260,26,85,85,969,45971,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_25__15_05_25,original,6,故障/抛锚/打滑,160,281,98,81,81,25276,43954,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_23__10_00_31,original,6,追尾,167,272,149,4,4,1730,48593,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_29__09_46_14,original,6,连环追尾,207,257,35,32,32,2845,44541,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_29__17_15_10,original,6,追尾,191,272,146,81,81,6256,48850,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_29__10_31_10,original,6,追尾,254,256,89,81,81,8905,52022,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_30__16_07_03,original,6,故障/抛锚/打滑,268,255,55,58,58,4880,51785,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_02__08_34_50,original,7,故障/抛锚/打滑,228,258,175,103,103,8100,37045,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_04__13_46_45,original,7,追尾,169,261,85,18,18,8476,28130,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_02__08_38_20,original,7,刮蹭,227,270,182,50,50,11585,41100,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_02__08_37_20,original,7,刮蹭,214,269,203,129,129,9535,39538,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_06_30__17_24_25,original,6,追尾,276,281,60,111,111,2874,53627,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_06__14_03_56,original,7,故障/抛锚/打滑,251,261,61,41,41,4553,48840,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_07__15_20_50,original,7,追尾,259,276,86,34,34,7072,54685,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_05__14_16_03,original,7,连环追尾,262,265,85,78,78,9961,57176,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_11__12_42_40,original,7,追尾,292,262,13,53,53,16856,58519,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_11__14_33_30,original,7,追尾,239,269,168,70,70,4705,42887,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_08__10_15_10,original,7,故障/抛锚/打滑,211,271,74,139,139,10889,47482,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_13__10_42_55,original,7,追尾,163,260,118,25,25,11264,35884,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_14__16_34_00,original,7,追尾,132,191,22,3,3,24648,35500,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_07__15_24_26,original,7,追尾,251,262,111,34,34,8948,59036,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_17__16_08_38,original,7,追尾,254,254,107,93,93,7602,38393,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_19__12_18_58,original,7,追尾,216,252,300,37,37,34974,39315,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_17__08_25_00,original,7,追尾,240,260,40,70,70,2394,50083,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_19__12_25_11,original,7,故障/抛锚/打滑,197,249,300,15,15,28647,43092,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_20__15_09_05,original,7,追尾,261,253,67,24,24,9833,40677,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_22__07_51_23,original,7,追尾,276,255,7,35,35,942,33994,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_19__12_16_55,original,7,故障/抛锚/打滑,186,251,93,54,54,6094,51106,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_15__14_45_21,original,7,碰撞,208,256,70,75,75,2119,51307,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_28__12_01_12,original,7,故障/抛锚/打滑,178,278,215,16,16,9433,32958,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_08_25__11_01_58,original,8,追尾,143,260,150,47,47,10516,22129,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_28__18_23_16,original,7,追尾,219,269,149,100,100,7483,40939,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_08_28__11_05_54,original,8,故障/抛锚/打滑,195,281,12,72,72,10241,39601,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_08_28__10_47_21,original,8,故障/抛锚/打滑,198,236,17,53,53,2809,40054,,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_07_31__15_02_00,original,7,其他,285,270,2,0,0,1223,50983,,"hard_brake,lane_change,slow_obstacle"
2024_09_04__15_51_18,generated,9,碰撞,219,248,95,42,42,2876,48108,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_04__15_51_41,generated,9,追尾,219,248,95,42,42,2876,48108,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_04__16_09_07,generated,9,追尾,167,272,163,67,67,9332,48902,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_08__15_26_26,generated,9,追尾,135,217,25,6,6,26392,39861,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_06__18_24_15,generated,9,故障/抛锚/打滑,191,258,81,71,71,1669,45513,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_14__18_59_33,generated,9,追尾,269,266,56,116,116,3571,47437,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_04__16_10_02,generated,9,追尾,153,272,171,102,102,9550,46233,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_17__11_36_06,generated,9,故障/抛锚/打滑,151,219,300,15,15,37776,35332,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_16__10_13_43,generated,9,连环追尾,137,229,66,16,16,29425,45081,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_16__17_26_15,generated,9,故障/抛锚/打滑,136,202,14,17,17,28277,45752,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_09__21_45_15,generated,9,碰撞,138,254,119,123,123,35935,44603,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_22__10_15_33,generated,9,追尾,172,261,155,17,17,4728,43364,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_30__10_42_58,generated,9,追尾,177,252,93,75,75,10195,34773,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_27__08_20_00,generated,9,追尾,236,266,13,50,50,7073,43477,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_14__20_17_53,generated,9,追尾,240,273,89,34,34,3648,65447,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_27__16_55_24,generated,9,追尾,209,260,60,29,29,14542,34582,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_09_30__13_23_10,generated,9,故障/抛锚/打滑,184,288,250,92,92,14123,52781,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_01__10_51_33,generated,10,追尾,210,252,81,43,43,2734,49328,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_01__08_43_43,generated,10,追尾,193,266,58,0,0,12542,58786,0.5,"hard_brake,lane_change,slow_obstacle"
2024_10_10__09_16_58,generated,10,碰撞,178,269,135,193,193,6841,38573,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_11__11_12_50,generated,10,碰撞,99,241,111,27,27,25230,31193,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_03__09_29_31,generated,10,连环追尾,277,238,89,48,48,9958,49592,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_05__11_16_51,generated,10,其他,186,275,94,40,40,6054,60590,0.5,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_11_08__16_34_56,generated,11,追尾,272,281,67,73,73,5052,43532,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_06__15_09_14,generated,10,其他,203,276,63,14,14,12204,57906,0.5,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_10_05__17_18_27,generated,10,追尾,186,279,139,50,50,7159,61473,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_11_08__18_47_07,generated,11,追尾,258,270,124,65,65,6815,47714,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_11_26__13_19_04,generated,11,碰撞,203,263,158,43,43,6414,39325,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_11_08__18_47_11,generated,11,追尾,258,270,124,65,65,6815,47714,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_11_28__08_04_10,generated,11,连环追尾,194,260,132,116,116,7783,42720,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
2024_11_29__17_40_16,generated,11,追尾,195,253,103,76,76,3650,46566,1.0,"cross_lane_conflict,hard_brake,lane_change,multi_vehicle_conflict,rear_end_risk,slow_obstacle"
