scene_id,analysis_type,month,split,raw_type,trajectory_count,mean_speed_mps,lane_change_vehicle_count,collision_x,collision_y,conflict_min_dist,pair_count,primitive_prop_following,primitive_prop_lane_change,primitive_prop_accelerating,primitive_prop_decelerating
2024_09_04__15_51_18,lane_change_conflict,9,generated,"2车道车辆实线变道,与3车道车辆发生碰撞",220,14.038072693584848,99,0.0,0.0,0.0,102056,0.28973787716258215,0.6063756635585994,0.05140688175592045,0.052479577522897926
2024_09_04__15_51_41,rear_end,9,generated,3车道货车追尾,220,14.038072693584848,99,0.0,0.0,0.0,102056,0.28973787716258215,0.6063756635585994,0.05140688175592045,0.052479577522897926
2024_09_04__16_09_07,rear_end,9,generated,1车道轿车追尾,220,9.50661081073042,37,0.0,0.0,0.0,59003,0.4864864864864865,0.3696231442710316,0.07153733210071238,0.07235303714176954
2024_09_04__16_10_02,rear_end,9,generated,1车道车辆追尾,219,8.627725206545911,35,6.2,59.849999999999994,2.402082429892863,39601,0.4990288713910761,0.3190813648293963,0.08921259842519685,0.09267716535433071
2024_09_08__15_26_26,rear_end,9,generated,1车道轿车追尾,220,18.269107789369425,47,18.7,82.45,1.0049875621120885,20578,0.058342438992086354,0.9102678719247707,0.013675043872719447,0.017714645210423496
2024_09_09__21_45_15,lane_change_conflict,9,generated,"1车道货车实线变道,与2车道轿车发生碰撞",220,12.795373452419934,57,19.6,69.30000000000001,0.20000000000000284,26126,0.3479803144573693,0.5141889300779752,0.06560782308577272,0.07222293237888278
2024_09_14__18_59_33,rear_end,9,generated,1车道车辆追尾,220,16.606128081858937,185,0.0,0.0,0.0,23875,0.19643652561247216,0.7382755329303213,0.030607699650015908,0.03468024180719058
2024_09_14__20_17_53,rear_end,9,generated,1车道车辆追尾,220,11.648078264869579,122,3.6999999999999997,170.1,1.811077027627482,47552,0.33250213416003954,0.5802219526441119,0.04344700543649189,0.043828907759356606
2024_09_16__10_13_43,rear_end,9,generated,1车道连续追尾,220,15.501040934849637,61,20.0,177.4,0.282842712474613,30113,0.23038887757773188,0.6872982170384806,0.03830604112736686,0.0440068642564207
2024_09_22__10_15_33,lane_change_conflict,9,generated,"1车道车辆a实线变道后方车辆b追尾a车,后方车辆c追尾车辆b",220,12.208588263129977,77,-2.3,101.19999999999999,1.96977156035922,18734,0.3438768894803289,0.5493568089534924,0.054116763913058315,0.052649537653120415
2024_09_27__08_20_00,rear_end,9,generated,"前方短暂拥堵,1车道车辆追尾",220,19.958581856509053,46,0.0,113.9,1.3999999999999915,23992,0.09555917957724393,0.873329988082544,0.015743586527002446,0.015367245813209559
2024_09_27__16_55_24,rear_end,9,generated,"低速拥堵,1车道车辆追尾",220,12.967917692572241,90,-2.0,209.2,0.0,39953,0.21800834824090637,0.7220830848737826,0.03041144901610018,0.029497117869210894
2024_09_30__10_42_58,rear_end,9,generated,"低速拥堵,1车道车辆追尾",220,12.327103896013796,82,11.6,42.6,0.0,30582,0.1562192578601503,0.784362334238382,0.030220753157832604,0.029197654743635146
2024_10_01__08_43_43,rear_end,10,generated,"低速拥堵,4车道追尾",220,12.241043223476236,25,1.1,100.5,0.6324555320336721,49705,0.32887452832320313,0.5808798608129787,0.04439975597080688,0.045845854893011274
2024_10_01__10_51_33,rear_end,10,generated,"低速拥堵,4车道车辆追尾",220,12.243773836865785,96,1.9500000000000002,94.5,1.9104973174542843,33292,0.310638982778046,0.5834540479639465,0.05104887601266162,0.05485809324534578
2024_10_03__09_29_31,rear_end,10,generated,"低速拥堵,2车道车辆连续追尾",220,11.673896776827101,186,-1.0,109.0,0.0,44960,0.33117278821117946,0.5662290177829483,0.04875076173065204,0.05384743227522021
2024_10_05__17_18_27,rear_end,10,generated,"低速拥堵,3、4车道车辆追尾",220,8.758152875557853,16,2.0,46.7,2.0880613017821106,35010,0.4455841754679229,0.4214218777701796,0.06645898234683281,0.0665349644150647
2024_10_10__09_16_58,lane_change_conflict,10,generated,"4车道施工,3车道车辆向2车道变道,与2车道车辆发生碰撞",220,11.823451391169508,21,0.0,0.0,0.0,31417,0.43785774058577404,0.40465271966527194,0.07852719665271966,0.07896234309623432
2024_10_11__11_12_50,lane_change_conflict,10,generated,"白色轿车实线变道,与3车道货车发生碰撞",220,13.730126166256182,62,0.0,0.0,0.0,11131,0.21136712749615977,0.69945139346061,0.041694096993636166,0.04748738204959403
2024_11_08__16_34_56,rear_end,11,generated,"低速拥堵,1车道车辆追尾",220,15.068398938598396,180,6.4,93.6,1.6492422502470627,25588,0.2478640247227777,0.6716960552626795,0.039114100466581835,0.041325819547960975
2024_11_08__18_47_07,rear_end,11,generated,"低速拥堵,2车道车辆追尾",220,11.726747723885211,158,-5.699999999999999,183.1,0.28284271247461107,28299,0.40690289392763745,0.4397792913182171,0.07673075265109061,0.07658706210305487
2024_11_08__18_47_11,rear_end,11,generated,"低速拥堵,1车道车辆追尾",220,11.726747723885211,158,-5.699999999999999,183.1,0.28284271247461107,28299,0.40690289392763745,0.4397792913182171,0.07673075265109061,0.07658706210305487
2024_11_26__13_19_04,lane_change_conflict,11,generated,"低速拥堵,3车道货车变道避让,撞击道路中心护栏,与1车道轿车发生碰撞",220,10.164509054530688,88,9.4,41.6,0.0,22680,0.38090661540925835,0.4956911741150088,0.061957392279352874,0.061444818196379945
2024_11_28__08_04_10,rear_end,11,generated,"1车道轿车异常停车,后方车辆连环追尾",220,14.152998099783755,16,-0.6,106.8,0.0,24716,0.43560781715799934,0.4168930109307718,0.07379927128188142,0.07369990062934746
2024_11_29__17_40_16,rear_end,11,generated,"低速拥堵,1车道车辆追尾",220,10.428189108026304,82,0.0,0.0,0.0,26487,0.3370861503641587,0.5586861271508574,0.051765661724167945,0.05246206076081595
